iter	Passed	Remaining
0	0	38
1	0	36
2	1	33
3	1	32
4	1	30
5	1	29
6	2	27
7	2	26
8	2	26
9	2	25
10	3	25
11	3	25
12	3	25
13	4	24
14	4	24
15	4	24
16	4	23
17	5	23
18	5	23
19	5	23
20	6	23
21	6	22
22	6	22
23	7	22
24	7	21
25	7	21
26	7	21
27	8	20
28	8	20
29	8	20
30	8	19
31	9	19
32	9	19
33	9	18
34	9	18
35	10	17
36	10	17
37	10	17
38	10	16
39	11	16
40	11	16
41	11	16
42	12	15
43	12	15
44	12	15
45	13	15
46	13	15
47	13	14
48	13	14
49	14	14
50	15	14
51	16	15
52	16	14
53	17	14
54	17	14
55	17	13
56	18	13
57	18	13
58	18	12
59	18	12
60	19	12
61	19	11
62	19	11
63	20	11
64	20	10
65	20	10
66	20	10
67	21	9
68	21	9
69	21	9
70	22	8
71	22	8
72	22	8
73	22	8
74	23	7
75	23	7
76	23	7
77	23	6
78	24	6
79	24	6
80	24	5
81	24	5
82	25	5
83	25	4
84	25	4
85	26	4
86	26	3
87	26	3
88	26	3
89	27	3
90	27	2
91	27	2
92	27	2
93	28	1
94	28	1
95	28	1
96	29	0
97	29	0
98	29	0
99	29	0
